sample.txt	12	27	https://en.wikipedia.org/wiki/Lehman_Brothers	1.0	ORG/NAM
sample.txt	326	358	https://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_New_York	1.0	ORG/NAM
sample.txt	370	389	NIL3	1.0	PER/NAM
sample.txt	395	404	https://en.wikipedia.org/wiki/President	1.0	PER/NAM
sample.txt	412	424	https://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_New_York	1.0	ORG/NAM
sample.txt	430	448	https://en.wikipedia.org/wiki/United_States_Secretary_of_the_Treasury	1.0	PER/NAM
sample.txt	449	468	https://en.wikipedia.org/wiki/Henry_Paulson	1.0	PER/NAM
sample.txt	671	676	https://en.wikipedia.org/wiki/Jun%C3%ADn	1.0	LOC/NAM
sample.txt	678	690	https://en.wikipedia.org/wiki/Buenos_Aires	1.0	LOC/NAM
sample.txt	691	699	https://en.wikipedia.org/wiki/Province	1.0	LOC/NAM
sample.txt	703	712	https://en.wikipedia.org/wiki/Argentina	1.0	LOC/NAM
sample.txt	95	110	https://en.wikipedia.org/wiki/Federal_Reserve_System	1.0	ORG/NAM
